object_name,okato,oktmo,Год,Всего,Мужчины,Женщины,Городское население,Сельское население,0–17 лет,18 лет и старше,Моложе трудоспособного,В трудоспособном возрасте,Старше трудоспособного,Население пенсионного возраста
Архангельская область,11200000,11700000,2018,1091130.0,507149.0,583981.0,840882.0,250248.0,222265.0,868865.0,201868.0,593436.0,295826.0,150153.0
Архангельская область,11200000,11700000,2019,1071587.0,497552.0,574035.0,827092.0,244495.0,220066.0,851521.0,198356.0,575687.0,297544.0,154420.0
Архангельская область,11200000,11700000,2020,1055460.0,489748.0,565712.0,815494.0,239966.0,216867.0,838593.0,194610.0,576810.0,284040.0,158523.0
Архангельская область,11200000,11700000,2021,1037282.0,480455.0,556827.0,802127.0,235155.0,212378.0,824904.0,189840.0,563950.0,283492.0,162833.0
Архангельская область,11200000,11700000,2022,1016030.0,470354.0,545676.0,787049.0,228981.0,208029.0,808001.0,185226.0,564960.0,265844.0,164076.0
Архангельская область,11200000,11700000,2023,1005687.0,465252.0,540435.0,781444.0,224243.0,204167.0,801520.0,181983.0,556097.0,267607.0,168430.0
Архангельская область,11200000,11700000,2024,998072.0,461186.0,536886.0,778127.0,219945.0,200200.0,797872.0,177576.0,563376.0,257120.0,173911.0
Архангельская область,11200000,11700000,2025,989434.0,456891.0,532543.0,774088.0,215346.0,196388.0,793046.0,172749.0,557069.0,259616.0,179374.0
Архангельская область,11200000,11700000,2000_avg,1379726.0,655497.0,724229.0,1032466.0,347260.0,329416.0,1050310.0,279600.0,848472.0,251654.0,140258.0
Архангельская область,11200000,11700000,2001_avg,1359783.0,643952.0,715832.0,1020563.0,339220.0,314369.0,1045414.0,266668.0,843590.0,249524.0,139530.0
Архангельская область,11200000,11700000,2002_avg,1341552.0,633130.0,708422.0,1006750.0,334801.0,301342.0,1040210.0,254192.0,839446.0,247912.0,139578.0
Архангельская область,11200000,11700000,2003_avg,1324102.0,622845.0,701257.0,990354.0,333748.0,289510.0,1034592.0,240449.0,839186.0,244466.0,141254.0
Архангельская область,11200000,11700000,2004_avg,1307384.0,613324.0,694059.0,979604.0,327780.0,276600.0,1030783.0,227466.0,837070.0,242846.0,144515.0
Архангельская область,11200000,11700000,2005_avg,1290528.0,603814.0,686714.0,960668.0,329860.0,262672.0,1027856.0,216614.0,830462.0,243452.0,147810.0
Архангельская область,11200000,11700000,2006_avg,1274252.0,594694.0,679558.0,941820.0,332432.0,249822.0,1024431.0,208308.0,820372.0,245572.0,150180.0
Архангельская область,11200000,11700000,2007_avg,1261916.0,588411.0,673504.0,937872.0,324043.0,240129.0,1021786.0,203928.0,808478.0,249510.0,151515.0
Архангельская область,11200000,11700000,2008_avg,1251684.0,583823.0,667861.0,934638.0,317046.0,233958.0,1017726.0,202617.0,795704.0,253363.0,150384.0
Архангельская область,11200000,11700000,2009_avg,1241848.0,579318.0,662530.0,931444.0,310405.0,231086.0,1010763.0,203361.0,779934.0,258554.0,145407.0
Архангельская область,11200000,11700000,2010_avg,1231186.0,574566.0,656620.0,929011.0,302176.0,229953.0,1001234.0,204710.0,761420.0,265056.0,139914.0
Архангельская область,11200000,11700000,2011_avg,1214504.0,566894.0,647610.0,921369.0,293135.0,228112.0,986392.0,204184.0,740000.0,270319.0,135604.0
Архангельская область,11200000,11700000,2012_avg,1193844.0,557166.0,636678.0,908494.0,285349.0,225911.0,967932.0,203112.0,715904.0,274828.0,134172.0
Архангельская область,11200000,11700000,2013_avg,1173638.0,547574.0,626065.0,895198.0,278441.0,224303.0,949336.0,202842.0,691669.0,279128.0,135287.0
Архангельская область,11200000,11700000,2014_avg,1154906.0,538535.0,616371.0,883415.0,271491.0,223454.0,931452.0,202834.0,668468.0,283604.0,136564.0
Архангельская область,11200000,11700000,2015_avg,1136937.0,529831.0,607106.0,872644.0,264292.0,223284.0,913653.0,203284.0,645464.0,288189.0,139622.0
Архангельская область,11200000,11700000,2016_avg,1119188.0,521143.0,598046.0,861183.0,258006.0,223223.0,895966.0,203828.0,623361.0,292000.0,143998.0
Архангельская область,11200000,11700000,2017_avg,1100864.0,512025.0,588838.0,848132.0,252731.0,222704.0,878159.0,202912.0,603220.0,294731.0,148036.0
